question,expected_answer,key_concepts,category
"What is OpenCloudHub?","OpenCloudHub is a comprehensive MLOps platform built on Kubernetes that demonstrates the complete machine learning lifecycle for both predictive and generative AI workloads, using open-source self-hostable components.","[""MLOps"", ""Kubernetes"", ""machine learning""]",overview
"What are the main components of OpenCloudHub?","The platform integrates ArgoCD for GitOps, MLflow for experiment tracking, DVC for data versioning, Argo Workflows for pipeline orchestration, Ray for distributed computing, and the LGTM stack for observability.","[""ArgoCD"", ""MLflow"", ""DVC"", ""Ray"", ""LGTM""]",overview
"How does OpenCloudHub handle GitOps deployments?","ArgoCD with ApplicationSets manages GitOps deployments, automatically synchronizing Kubernetes resources from Git repositories and enabling declarative infrastructure management.","[""ArgoCD"", ""ApplicationSets"", ""GitOps""]",infrastructure
"What is the observability stack used?","The LGTM stack provides observability: Prometheus for metrics collection, Grafana for dashboards, Loki for log aggregation, and Tempo for distributed tracing.","[""Prometheus"", ""Grafana"", ""Loki"", ""Tempo"", ""LGTM""]",observability
"How is experiment tracking handled?","MLflow tracks experiments including hyperparameters, metrics, and artifacts. It also serves as the model registry with lifecycle stages and alias management for deployment.","[""MLflow"", ""experiment tracking"", ""model registry""]",mlops
"How does data versioning work?","DVC versions datasets with Git integration, storing actual data in MinIO object storage while tracking metadata in Git. This enables reproducible data pipelines with explicit lineage to training runs.","[""DVC"", ""data versioning"", ""MinIO""]",mlops
"What object storage solution is used?","MinIO provides S3-compatible object storage for ML artifacts, model files, DVC data, and training checkpoints.","[""MinIO"", ""S3"", ""object storage""]",infrastructure
"What database does the platform use?","CloudNativePG operates PostgreSQL databases in Kubernetes, used for MLflow metadata, application data, and pgvector for embedding storage.","[""CloudNativePG"", ""PostgreSQL""]",infrastructure
"How does pipeline orchestration work?","Argo Workflows orchestrates ML pipelines as directed acyclic graphs with dependency management, retry logic, and integration with MLflow for tracking.","[""Argo Workflows"", ""pipeline"", ""DAG""]",mlops
"What ML frameworks are supported?","The platform demonstrates framework agnosticism with scikit-learn, PyTorch Lightning, HuggingFace Transformers, and custom PyTorch for Qwen-VL fine-tuning.","[""scikit-learn"", ""PyTorch Lightning"", ""Transformers""]",mlops
"How does model serving work?","Ray Serve deploys models as inference endpoints with autoscaling, health checks, and support for both traditional ML models and LLMs via vLLM backend.","[""Ray Serve"", ""inference"", ""autoscaling""]",mlops
"How does OpenCloudHub serve LLMs?","Ray Serve with vLLM backend provides LLM serving featuring continuous batching, streaming token generation, and OpenAI-compatible API endpoints.","[""Ray Serve"", ""vLLM"", ""LLM"", ""streaming""]",genai
"What is fractional GPU allocation?","KubeRay enables fractional GPU allocation allowing multiple models to share a single GPU. For example, Qwen serving uses 0.49 GPU allocation.","[""KubeRay"", ""fractional GPU"", ""GPU sharing""]",genai
"How does distributed training work?","Ray Train with PyTorch DDP strategy enables distributed data parallel training across multiple workers, with checkpoints stored in MinIO for fault tolerance.","[""Ray Train"", ""DDP"", ""distributed training""]",mlops
"What hyperparameter optimization approach is used?","Ray Tune with ASHA scheduler performs hyperparameter optimization, early-stopping underperforming trials to efficiently focus compute on promising configurations.","[""Ray Tune"", ""ASHA"", ""hyperparameter optimization""]",mlops
